hypothesis,year,n_points,mean_prop_habitat,mean_num_patches,mean_patch_size,mean_edge_density
1,2010,62,0.507539233634586,6.387096774193548,443211.99894280947,0.014395740131020745
1,2011,78,0.49492634860968804,7.051282051282051,439568.7834290009,0.012353987869984403
1,2012,63,0.5218005675117745,6.222222222222222,500624.9350210135,0.013448652687852851
1,2013,6,0.27443647944892985,14,77878.56731461,0.025366481418706233
1,2014,56,0.529311998554541,6.25,606685.4057188305,0.010568430351546894
1,2015,142,0.4786345507216111,7.028169014084507,500072.3464347018,0.015355503261645611
1,2016,181,0.39502151640458694,7.088397790055248,265873.6405715745,0.017327891340560165
1,2017,184,0.47751835636520906,6.418478260869565,539244.7599476351,0.015594184047571234
1,2018,24,0.444395275988297,10.208333333333334,307498.109601539,0.015328906659167684
1,2019,100,0.4073801420953089,7.63,253262.9867642632,0.015449892988185703
1,2020,48,0.4867854198825159,7.458333333333333,349704.86072334205,0.014343007331544625
1,2021,19,0.43837042511621677,9.210526315789474,265014.86287767196,0.015667866786629903
1,2022,50,0.6609046079424685,5.2,1164321.7152883932,0.01174349568718812
1,2023,3,0.32680226365153,6.666666666666667,160239.0634947248,0.017769592657064008
2,2010,62,0.4988277981970798,8.516129032258064,277991.8801053584,0.01527014988868915
2,2011,78,0.4904593969286135,7.961538461538462,289089.6583363873,0.012891293578012405
2,2012,63,0.5161325206371941,7.095238095238095,342729.31694995455,0.014173813847323694
2,2013,6,0.2674749566822992,15.166666666666666,61250.38411310484,0.024540219511502797
2,2014,56,0.5253736312572636,7.071428571428571,375835.5014413947,0.011213027792730559
2,2015,142,0.4694744637331539,9.591549295774648,331442.79646763374,0.016270062556773403
2,2016,181,0.3852032157076024,9.98342541436464,193558.140441695,0.018314047674383188
2,2017,184,0.46618526498028745,9.646739130434783,370885.74313660886,0.01666671024276848
2,2018,24,0.4344971511095188,15.083333333333334,174952.10809885198,0.017204686586027387
2,2019,100,0.39769402517749475,11.71,148929.2169033806,0.0167999136419934
2,2020,48,0.4763941205600122,11.104166666666666,175292.90112857163,0.015474891048264557
2,2021,19,0.4123790048111533,19.57894736842105,114251.99557390327,0.01776408313751339
2,2022,50,0.632951501559005,14.68,434124.1495224577,0.014272098531875655
2,2023,3,0.3268022636516006,7,148113.86371229327,0.01776959265706021
3,2010,62,0.49280732163832075,15.85483870967742,111734.44710384589,0.01954230141947568
3,2011,78,0.4832244685578222,17.28205128205128,110096.65801735454,0.01785714488282786
3,2012,63,0.5090314850162071,16.158730158730158,128054.00520720928,0.018866207435444905
3,2013,6,0.26199557513969196,49.166666666666664,22948.441605053602,0.03518190176228601
3,2014,56,0.5182254668558501,17.553571428571427,166703.23975980678,0.015915800886200232
3,2015,142,0.463651067851303,22.091549295774648,103742.95318938914,0.021012818797764544
3,2016,181,0.380227825454079,20.209944751381215,74715.89566793898,0.02347209186962253
3,2017,184,0.46040450089807755,23.63586956521739,134467.4997825356,0.021736915944247377
3,2018,24,0.43320671508607056,19.416666666666668,162117.78673606942,0.01873772932969386
3,2019,100,0.3922013458485901,22.27,69669.17532760311,0.02241500017444232
3,2020,48,0.4695082636057113,21.541666666666668,84912.05322683844,0.021422051073512246
3,2021,19,0.40768044850663426,49.21052631578947,89798.80239222987,0.026147266065218243
3,2022,50,0.6262393066319619,39.04,198145.53516809497,0.020280739063413374
3,2023,3,0.32025599080276035,19.666666666666668,55542.926223240866,0.024752189467117786
