hypothesis,year,n_points,mean_prop_habitat,mean_num_patches,mean_patch_size,mean_edge_density
1,2010,62,0.772044441199035,1.1612903225806452,52786.28631361963,0.02337069249241213
1,2011,78,0.7878456884248728,1.141025641025641,53749.82366385891,0.02609322094673635
1,2012,63,0.776249012400632,1.0952380952380953,54006.74659762611,0.027542542889849517
1,2013,6,0.3981927060397351,1,23536.9926503826,0.028077966999829028
1,2014,56,0.8304867834222756,1.0178571428571428,57521.84865132172,0.017153103509929053
1,2015,142,0.7659747163225509,1.056338028169014,52816.6591665455,0.026036725351437143
1,2016,181,0.6269356447866139,1,43110.064384726844,0.03432965763198843
1,2017,184,0.7111606225429266,1.0217391304347827,49256.27369201157,0.02843364495073987
1,2018,24,0.556584628274837,1.0833333333333333,37214.79964431048,0.029922777559202893
1,2019,100,0.6225687233099348,1.04,43006.96509032399,0.02860455088549625
1,2020,48,0.7637751589423584,0.9583333333333334,53551.70192842799,0.020091020016352466
1,2021,19,0.6741085695678911,1.2105263157894737,46255.175741824954,0.02712943790179886
1,2022,50,0.8190727053711493,1.08,57207.87685192309,0.022008448473965683
1,2023,3,0.791215048008781,1.3333333333333333,46459.651278585916,0.019386114935755143
2,2010,62,0.7616931251464047,1.2903225806451613,49433.83649476461,0.024516725542406994
2,2011,78,0.7874417265375023,1.1538461538461537,53624.35644655745,0.026206541684617488
2,2012,63,0.7729891380243704,1.126984126984127,52169.684868388154,0.025541710775562717
2,2013,6,0.3981927060397351,1,23536.9926503826,0.028077966999829028
2,2014,56,0.8280798537999701,1.0714285714285714,56020.23854138637,0.017492729006562062
2,2015,142,0.7557463937188895,1.1619718309859155,49839.430504927535,0.027095815010540588
2,2016,181,0.6184385150545822,1.0939226519337018,41241.43935260223,0.03551783114440748
2,2017,184,0.7000269003861593,1.125,46021.2890750435,0.029080358548404545
2,2018,24,0.5471239204608017,1.1666666666666667,34642.55766730382,0.030604169858968626
2,2019,100,0.6094444287288447,1.2,39388.382027521584,0.029691388463268454
2,2020,48,0.7491474511466241,1.1666666666666667,48407.81604496523,0.021349332926421556
2,2021,19,0.6238578084116235,2.1052631578947367,36695.1142275772,0.03410472556092088
2,2022,50,0.7969522571625068,1.24,51959.28451867619,0.023713365044564255
2,2023,3,0.7912150480090555,1.3333333333333333,46459.65127860531,0.019386114935750317
3,2010,62,0.7518117073017291,1.7419354838709677,37929.874442693465,0.028790070945489625
3,2011,78,0.773925036550721,1.641025641025641,41310.08306944257,0.03172557872593495
3,2012,63,0.762645442142233,1.5714285714285714,40438.08440887726,0.030157399508133523
3,2013,6,0.38877086770364155,2,13935.49897568136,0.041042265314958054
3,2014,56,0.8154238540195581,1.6964285714285714,41035.85304963475,0.022278681293918575
3,2015,142,0.7455655298533396,1.7746478873239437,37338.57420936994,0.03203123282544556
3,2016,181,0.6106400066026383,1.6077348066298343,31851.703588740795,0.039836307830433716
3,2017,184,0.6904623397566773,1.7228260869565217,35496.16110867949,0.03461867424292682
3,2018,24,0.5456925398305049,1.3333333333333333,33472.95933472081,0.03181691723749033
3,2019,100,0.6022421617987137,1.61,31945.849081004435,0.03363859437333185
3,2020,48,0.7363230606254122,1.9375,34804.791722840455,0.027053318129788315
3,2021,19,0.6171304517866766,3.3157894736842106,28457.770971796544,0.041073299553596676
3,2022,50,0.7889895348847098,2.44,40055.28790152035,0.02909975048687941
3,2023,3,0.7611127700916366,4.333333333333333,21523.570192965533,0.031135485392139905
