"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"591986.926883381_6120639.36818589",0,0,0,0,0,0
"591780.224350608_6122971.7363752",0,0,0,0,0,0
"594581.571545094_6125012.76527541",1,0,0,0,0,1
"593948.169432889_6119030.29823598",0,0,0,0,0,0
"596128.137051085_6121718.65486503",0,0,0,0,0,0
"595746.622513637_6121725.9700305",0,0,0,1,0,0
"594522.11066684_6122517.55296935",0,0,0,0,0,0
"596567.848309006_6121957.45331671",0,0,0,0,0,0
"594476.600657417_6121671.99138342",0,0,0,0,0,0
"599653.249077552_6117395.64522837",1,0,0,0,1,1
"596005.817145636_6123900.39037998",0,0,0,0,1,0
"596293.569202303_6122879.54179739",1,1,1,0,0,0
"593236.807639774_6119373.80880564",0,0,0,0,0,0
"594379.954663381_6125020.25512943",1,1,0,0,0,0
"592778.079889427_6120833.79295727",0,0,0,0,0,0
"592583.5726017_6121015.55337154",0,0,0,0,0,0
"593639.466452432_6123568.16423484",0,0,0,0,0,0
"593472.979432627_6121040.906317",1,0,0,0,0,0
"591708.164562703_6123383.0724987",0,0,0,0,0,0
"591767.841822821_6123569.02551649",0,0,0,0,0,0
"595218.911704207_6121671.86334591",1,0,0,0,0,0
"599872.013541026_6116348.74552919",0,1,0,0,0,1
"599876.344424611_6116156.32854039",1,0,1,0,0,0
"600512.367929787_6116174.02790624",0,0,0,0,0,0
"596496.590588304_6122310.87808283",1,0,0,0,0,0
"600074.342840958_6117419.81479202",0,1,0,0,1,1
"600037.524180694_6117607.93838425",0,0,0,0,0,0
"600020.163277627_6117805.06960583",0,1,1,1,0,0
"211902.052995167_6130085.58727328",0,0,0,0,0,0
"599885.23069785_6117400.97441851",0,1,0,1,0,1
"212096.036768886_6130274.92115362",0,1,0,0,0,0
"599586.143764336_6117797.19443434",1,1,1,0,1,0
"593579.639446041_6122106.17695049",1,1,1,0,0,0
"593791.717297772_6121898.90485559",0,1,1,1,0,0
"600840.482946917_6118537.29205117",0,0,0,0,0,0
"598526.499029743_6119621.43255341",1,0,0,0,0,0
"598340.260488692_6119416.99367716",1,0,0,0,0,0
"598348.551416084_6119043.27909929",1,0,0,0,0,0
"599099.638860823_6116558.99458986",1,1,0,1,1,0
"597928.293728596_6124527.84193973",1,0,1,0,1,1
"597930.925580619_6124695.93293297",1,1,1,1,1,0
"597213.768335635_6124379.66441398",1,0,0,0,0,0
"596800.529862954_6122942.89780794",1,0,1,0,0,0
"595666.272709935_6122503.17753529",1,1,0,0,0,0
"593980.574935883_6125036.34567235",1,1,0,0,0,0
"592050.541338051_6120891.27972281",0,0,0,0,0,0
"594578.261888067_6125244.81908966",0,1,0,0,0,0
"593618.393724494_6123182.70256377",0,0,0,0,0,0
"593403.976109504_6121298.72335315",0,0,0,0,0,0
"593863.935818849_6123588.49721205",1,0,1,0,0,0
"593868.369960926_6123379.39142674",1,0,0,0,0,0
"593156.173293461_6120991.9486091",0,0,0,0,0,0
"594149.694294585_6119024.8925665",1,0,0,0,0,0
"594158.469220695_6118890.21253831",0,0,0,0,0,0
"592899.70400629_6119404.5644386",1,0,0,0,0,0
"593072.652417507_6119408.41507524",0,0,0,0,0,0
"591204.935627592_6123138.99943868",0,0,0,0,0,0
"594966.998286825_6122514.83164166",0,0,0,0,0,0
"600644.05232449_6115980.04589327",0,0,1,0,0,1
"597866.700091488_6120702.91401796",1,0,0,0,0,0
"592015.166549764_6121838.27126205",0,0,0,0,0,0
"599120.62193294_6116385.97863985",1,0,0,1,1,0
"756047.73830926_6242424.22282013",0,0,0,0,0,0
"756364.7720349_6242142.01907018",0,0,0,0,0,0
"748421.556011293_6243585.88313968",0,0,0,0,0,0
"748989.57807926_6238747.01646402",0,0,0,0,0,0
"717761.681293953_6083024.55522548",0,0,0,0,0,0
"717802.133007879_6082439.85088213",0,0,0,0,0,0
"599624.477988924_6117583.17351165",0,0,1,1,1,0
"599867.282008125_6116558.95836695",0,0,0,0,0,0
"600253.304744542_6116372.92329109",0,0,0,0,1,0
"600262.275962806_6115975.8551523",1,1,0,0,0,1
"600516.373616118_6115997.18257406",1,1,0,0,0,0
"600639.234371027_6116192.48266692",0,1,0,0,1,0
"597543.394356186_6120949.5005586",0,0,0,0,0,0
"595738.206939649_6122115.26005527",0,0,0,1,0,1
"601761.29348596_6117217.38239414",0,0,0,0,0,0
"595986.467685785_6122111.39790147",0,0,0,0,0,0
"599284.313991854_6116777.78165715",0,0,0,1,0,0
"596382.158646741_6121728.62640304",0,0,0,0,0,0
"596377.705145936_6121933.28137115",0,0,0,1,1,0
"596305.446453542_6122333.42379048",0,0,0,0,0,0
"514905.79699087_6143068.46917463",0,1,0,0,0,0
"514921.850623066_6142063.21435379",0,1,1,0,0,0
"515400.549616926_6143063.27698584",0,0,0,0,1,0
"590942.012218411_6123566.44723903",0,0,0,0,0,0
"591132.404749213_6123575.92673175",0,0,0,0,0,0
"591454.488779901_6123361.13314961",0,0,0,0,0,0
"590883.305363914_6123331.56569317",0,0,0,0,0,0
"594527.595201961_6122260.62059771",0,0,0,0,0,0
"594531.939983182_6122057.07683564",0,0,0,0,0,0
"593629.7918801_6121546.51718249",0,0,1,0,1,0
"594732.029131047_6121616.24482976",0,0,0,0,0,0
"593783.383339932_6122112.37860558",0,0,1,0,0,0
"596037.955686159_6124421.7590127",0,0,0,0,0,0
"596155.493629776_6123908.98099448",0,1,0,1,0,0
"594763.100412678_6125006.18960409",0,0,0,0,0,0
"598335.57201538_6119628.32045801",0,0,0,0,0,0
"598535.20179447_6119229.92213379",0,0,0,0,0,0
"599265.868735731_6117377.38897417",1,0,0,0,0,1
"778801.249127299_6057954.16415533",0,0,0,0,0,0
"747954.136869669_6245351.36125113",0,0,0,0,0,0
"597792.226383071_6124720.68533432",0,0,0,0,0,1
"736207.346892886_6180989.17412393",0,0,0,0,0,0
"736245.520450457_6180398.24168302",0,0,0,0,0,0
"736806.190172076_6181029.80856896",0,0,0,0,0,0
"763855.622545265_6234506.44278187",0,0,0,0,0,0
"779896.655550584_6200646.29414294",0,0,0,0,0,0
"705729.417697827_6114908.85125168",0,0,0,0,0,0
"720581.576923652_6083220.87607534",0,0,0,0,0,0
"729337.99492119_6176309.12303888",0,0,0,0,0,0
"729379.393942491_6176876.58986177",0,0,0,0,0,0
"729921.544727885_6176960.95289256",0,0,0,0,0,0
"732662.330233542_6178269.56169945",0,0,0,0,0,0
"592194.463194854_6121034.70106262",0,0,0,0,0,0
"599286.839955569_6116576.75589642",1,1,0,1,1,1
"807980.838140029_6059191.05615502",0,0,0,0,0,0
"808062.219912042_6059998.88193827",1,1,1,0,0,0
"808181.578215608_6059643.59162797",0,0,0,0,0,0
"808333.568640388_6059298.33918313",0,0,0,0,0,0
"724677.768569568_6083155.50771831",0,0,0,0,0,0
"808225.645152385_6058958.4862751",0,0,0,0,0,0
"592964.317397408_6121046.89447672",0,1,0,0,0,0
"696034.622115566_6100658.66979006",0,0,0,0,0,0
"696261.505870276_6100019.65552523",0,0,0,0,0,0
"726804.999349815_6081626.0590334",0,0,0,0,0,0
"727393.257363221_6082691.69264543",0,1,1,1,1,1
"727687.515892368_6082434.01233331",1,1,1,0,0,0
"727811.292014404_6081688.58917028",0,0,0,0,0,0
"728129.911611165_6082055.48729684",1,0,1,0,0,0
"597145.954674272_6124575.13956477",1,0,0,1,0,0
"600071.739060024_6115958.20079627",0,0,0,0,1,0
"600062.759854139_6116356.38136338",0,1,1,0,0,0
"600439.719269668_6116571.88005168",0,0,0,0,1,0
"696744.813846671_6101024.89993913",0,0,0,0,0,0
"726494.744461883_6081725.63159234",0,0,0,0,0,0
"727281.832880726_6082152.33935691",0,0,0,0,0,0
"697091.416187326_6101111.93934069",0,0,0,0,0,0
