"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"642352.864873071_6646429.49132321",0,0,0,0,0,0
"776400.941307091_6195271.68885446",0,0,0,0,0,0
"595167.089182287_6122075.13104162",0,0,0,0,0,0
"596572.553143312_6121741.67589651",0,0,0,0,0,0
"752159.504338714_6155858.95153524",0,0,0,0,0,0
"777579.341553056_6196361.93782235",0,0,0,0,0,0
"597990.420135531_6125075.49102837",1,0,1,0,0,0
"694009.676470847_6622844.84987771",0,0,0,0,0,0
"774006.403946608_6196376.6207346",0,0,0,0,0,0
"641922.876978961_6645882.52272489",0,0,0,0,0,0
"264597.995378623_6290006.4860592",0,0,0,0,0,0
"431511.36734213_6517433.51496069",0,0,0,0,0,0
"666986.371044081_6630917.87975927",0,0,0,0,0,0
"642410.120158296_6645944.73767366",0,0,0,0,0,0
