hypothesis,year,n_points,mean_prop_habitat,mean_num_patches,mean_patch_size,mean_edge_density
1,2010,62,0.6089382984155127,2.370967741935484,311846.18495338614,0.01463598264256981
1,2011,78,0.6082906761112924,2.358974358974359,324093.9951274595,0.01226619123418986
1,2012,63,0.6216733452358317,2.1904761904761907,350041.0010095402,0.013869877037991911
1,2013,6,0.23769814634545616,3.8333333333333335,109939.92094321412,0.02797247887381086
1,2014,56,0.6331122159679325,2.0714285714285716,356878.106602922,0.011197282176838956
1,2015,142,0.5547999276701512,2.5140845070422535,284331.00884504954,0.01628507495582556
1,2016,181,0.465093071726121,2.4640883977900554,221269.66837919448,0.01889539392983704
1,2017,184,0.5585614671663216,2.25,317622.7130274524,0.017748416725654092
1,2018,24,0.5066799952224704,3.0833333333333335,203257.4111185529,0.017744882261571327
1,2019,100,0.5130692092671516,2.06,264919.1373455699,0.014361881773087006
1,2020,48,0.5904250578132745,2.25,308253.9984175328,0.013022396408548584
1,2021,19,0.5513040588724524,2.473684210526316,284178.76828099147,0.015965093367643672
1,2022,50,0.7217123170899004,2.06,445519.7021993752,0.013511667691741105
1,2023,3,0.4064184985671351,2.3333333333333335,146567.66264877687,0.020008182387932838
2,2010,62,0.5998773955580597,3.0161290322580645,250287.71249402626,0.015652268830021555
2,2011,78,0.6051671500200839,2.6538461538461537,273900.78964297514,0.01246120050032357
2,2012,63,0.6161539541802332,2.492063492063492,288430.02707389876,0.014708835435206161
2,2013,6,0.2361772683227682,4,83135.86006595923,0.028069167904780395
2,2014,56,0.629505509090772,2.392857142857143,294965.5112343348,0.011617531983694595
2,2015,142,0.5463839714892007,3.140845070422535,238369.8222346952,0.017444379825221467
2,2016,181,0.4542197327317279,3.3591160220994474,164455.1218254059,0.020325934067227942
2,2017,184,0.547013687005185,3.114130434782609,250667.89595039288,0.019298569182680046
2,2018,24,0.4927794614027172,4.333333333333333,164221.16078906867,0.020271588524306862
2,2019,100,0.5022382298589932,3.15,203327.4730029624,0.015403568223635726
2,2020,48,0.579402806511346,3.125,228643.40452435944,0.014069899656195583
2,2021,19,0.5206149213697633,5.2105263157894735,174984.86795127534,0.019697895961782317
2,2022,50,0.6944742652006928,4.32,270678.0336994064,0.015545654354693773
2,2023,3,0.40641849856710993,2.3333333333333335,146567.66264876697,0.020008182387933664
3,2010,62,0.5924048472652823,5.306451612903226,111147.78555136707,0.019861517654811426
3,2011,78,0.5953619590564183,5.3076923076923075,128178.78383871965,0.01778966800300507
3,2012,63,0.6081134582779392,4.73015873015873,152636.7576273888,0.019141054203511504
3,2013,6,0.23130796681901872,10.5,25224.663595261318,0.0385010080014257
3,2014,56,0.6205756004083515,5.464285714285714,143027.87145048936,0.01613807909081027
3,2015,142,0.5393120806143917,6.936619718309859,104239.79939586256,0.022530515368256707
3,2016,181,0.4481260131748672,6.745856353591161,70608.93400632947,0.02509035929549867
3,2017,184,0.5396766744723863,7.304347826086956,114733.28605693355,0.02469773591322648
3,2018,24,0.49099436549888015,5.833333333333333,152374.84866259503,0.022146413108825386
3,2019,100,0.49557182668346295,6.22,100548.42497379956,0.020203937800376572
3,2020,48,0.5699494718598642,6.4375,98665.9474503277,0.019353521198780848
3,2021,19,0.5139988003414934,14.947368421052632,114775.48270463255,0.02908804365833809
3,2022,50,0.687141418750893,11.32,139219.4807591408,0.02162924917505841
3,2023,3,0.39538233572897813,7.333333333333333,51617.915605523696,0.028624402334345128
